age,workclass,fnlgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
74,State-gov,430596,11th,3,Married-spouse-absent,Farming-fishing,Other-relative,Black,Male,18100,0,64,India,<=50K
89,Self-emp-not-inc,156207,Assoc-acdm,7,Married-civ-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,0,0,92,Canada,>50K
43,Self-emp-inc,420013,11th,3,Never-married,Transport-moving,Wife,Asian-Pac-Islander,Female,54013,0,53,United-States,<=50K
28,Private,1011520,Doctorate,10,Divorced,Handlers-cleaners,Wife,Other,Male,57480,0,15,England,>50K
40,Self-emp-not-inc,891523,Masters,4,Divorced,Adm-clerical,Husband,Other,Male,0,0,65,Canada,<=50K
51,Self-emp-inc,478584,7th-8th,9,Married-AF-spouse,Farming-fishing,Wife,Black,Male,0,2568,48,Germany,<=50K
40,Local-gov,1243678,Some-college,6,Married-AF-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0,1166,58,Puerto-Rico,<=50K
87,Self-emp-inc,787868,1st-4th,14,Separated,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,59559,0,42,Cuba,>50K
28,Private,783930,Doctorate,10,Married-spouse-absent,Handlers-cleaners,Not-in-family,Other,Male,0,3184,62,United-States,<=50K
27,Local-gov,225031,Assoc-acdm,7,Separated,Exec-managerial,Wife,White,Male,7881,0,17,Mexico,>50K
45,Private,799112,Prof-school,11,Married-spouse-absent,Tech-support,Wife,Asian-Pac-Islander,Male,0,0,4,Cambodia,<=50K
74,Federal-gov,127198,5th-6th,12,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,0,71,India,>50K
17,Federal-gov,1362651,Bachelors,1,Married-civ-spouse,Tech-support,Other-relative,Amer-Indian-Eskimo,Female,0,0,28,Germany,<=50K
40,Federal-gov,255649,1st-4th,14,Widowed,Tech-support,Own-child,Other,Female,0,0,63,Germany,>50K
87,Self-emp-not-inc,1063776,Preschool,15,Never-married,Armed-Forces,Own-child,Asian-Pac-Islander,Male,0,0,60,India,>50K
85,State-gov,1022970,12th,16,Married-AF-spouse,Other-service,Other-relative,Other,Female,0,0,48,Cuba,>50K
75,State-gov,166952,12th,16,Married-AF-spouse,Craft-repair,Own-child,White,Male,0,0,71,Cuba,>50K
61,Without-pay,1353924,7th-8th,9,Divorced,Armed-Forces,Not-in-family,Black,Female,9742,0,88,Cambodia,>50K
31,Private,1211672,Prof-school,11,Married-spouse-absent,Craft-repair,Wife,Other,Female,74617,0,19,Japan,<=50K
56,Federal-gov,1119956,Bachelors,1,Divorced,Transport-moving,Other-relative,Asian-Pac-Islander,Female,0,0,55,India,<=50K
30,Private,1022330,HS-grad,2,Never-married,Tech-support,Own-child,Black,Female,0,0,2,Mexico,<=50K
53,Self-emp-not-inc,1238427,Some-college,6,Divorced,Machine-op-inspct,Unmarried,Other,Male,0,0,41,England,<=50K
88,State-gov,60742,5th-6th,12,Separated,Transport-moving,Husband,Other,Male,0,0,38,Mexico,<=50K
50,Local-gov,943622,1st-4th,14,Widowed,Adm-clerical,Other-relative,Black,Male,0,0,52,Japan,<=50K
36,Federal-gov,1283480,Assoc-acdm,7,Never-married,Tech-support,Unmarried,White,Male,0,0,15,Cambodia,<=50K
50,Local-gov,35789,11th,3,Married-spouse-absent,Farming-fishing,Wife,Black,Female,0,2187,91,Puerto-Rico,<=50K
87,State-gov,1332869,Doctorate,10,Separated,Sales,Not-in-family,Black,Male,0,0,42,Germany,<=50K
57,Without-pay,52713,1st-4th,14,Married-spouse-absent,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Female,12747,3055,10,England,<=50K
20,Local-gov,614265,Preschool,15,Married-AF-spouse,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,70000,32,35,Cambodia,<=50K
74,Self-emp-not-inc,72671,Doctorate,10,Married-AF-spouse,Armed-Forces,Wife,Black,Male,0,2521,89,India,>50K
23,Self-emp-inc,109132,Masters,4,Divorced,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,0,0,44,Cambodia,<=50K
89,Local-gov,456966,Doctorate,10,Widowed,Priv-house-serv,Husband,Asian-Pac-Islander,Male,18726,0,72,United-States,>50K
26,Federal-gov,835629,Masters,4,Divorced,Exec-managerial,Other-relative,Black,Female,0,2266,79,England,<=50K
74,Without-pay,429988,9th,5,Married-civ-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,81359,88,75,Canada,>50K
77,Never-worked,831637,Doctorate,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,20154,0,6,United-States,>50K
44,Without-pay,355018,5th-6th,12,Married-AF-spouse,Armed-Forces,Wife,Other,Male,0,0,3,Philippines,<=50K
22,Self-emp-inc,39127,Prof-school,11,Married-AF-spouse,Tech-support,Other-relative,Amer-Indian-Eskimo,Male,81158,0,13,Japan,<=50K
23,Self-emp-not-inc,811412,Doctorate,10,Married-spouse-absent,Exec-managerial,Unmarried,Black,Male,45425,0,44,Philippines,>50K
30,Never-worked,113701,7th-8th,9,Widowed,Farming-fishing,Not-in-family,White,Female,0,3012,94,Germany,>50K
68,Federal-gov,945106,Some-college,6,Married-spouse-absent,Farming-fishing,Own-child,Other,Male,0,3884,98,Mexico,<=50K
25,Federal-gov,719296,Doctorate,10,Married-spouse-absent,Adm-clerical,Husband,White,Male,0,1237,12,Canada,<=50K
23,Self-emp-not-inc,1411124,7th-8th,9,Widowed,Other-service,Own-child,Amer-Indian-Eskimo,Male,0,3160,23,United-States,<=50K
55,Without-pay,488315,12th,16,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,0,0,30,Germany,<=50K
77,State-gov,230963,11th,3,Widowed,Machine-op-inspct,Own-child,White,Male,0,0,5,Puerto-Rico,<=50K
49,Local-gov,280349,7th-8th,9,Separated,Transport-moving,Husband,White,Male,0,3476,74,Germany,>50K
60,Self-emp-inc,1162669,Bachelors,1,Separated,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,0,1618,75,Cambodia,<=50K
44,State-gov,89795,Assoc-voc,8,Widowed,Transport-moving,Own-child,White,Male,25701,3376,53,Cuba,>50K
38,Private,1020205,Bachelors,1,Separated,Exec-managerial,Own-child,Other,Female,0,0,35,India,<=50K
44,Local-gov,289878,9th,5,Separated,Craft-repair,Wife,Asian-Pac-Islander,Female,2983,1342,89,Mexico,>50K
24,Self-emp-inc,1122323,1st-4th,14,Widowed,Tech-support,Not-in-family,Black,Male,0,0,34,Puerto-Rico,<=50K
19,Self-emp-inc,480255,Assoc-voc,8,Divorced,Protective-serv,Other-relative,Black,Male,10963,0,38,Germany,>50K
37,Local-gov,1103793,Assoc-voc,8,Married-civ-spouse,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,33,Germany,<=50K
41,State-gov,233679,Masters,4,Widowed,Adm-clerical,Own-child,White,Male,0,0,41,Puerto-Rico,<=50K
32,Never-worked,1003326,Some-college,6,Divorced,Protective-serv,Wife,Amer-Indian-Eskimo,Female,0,4352,88,England,<=50K
83,Never-worked,426581,HS-grad,2,Married-civ-spouse,Farming-fishing,Wife,White,Male,0,0,53,Philippines,<=50K
64,Without-pay,642583,Masters,4,Married-AF-spouse,Handlers-cleaners,Husband,Black,Male,86869,0,40,Philippines,<=50K
37,Self-emp-inc,1166436,Doctorate,10,Divorced,Craft-repair,Other-relative,Asian-Pac-Islander,Male,53361,2286,84,England,>50K
71,Private,20984,12th,16,Divorced,Tech-support,Husband,Black,Female,0,954,9,Mexico,<=50K
18,State-gov,689072,Assoc-voc,8,Married-spouse-absent,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,0,1731,41,Philippines,<=50K
45,Without-pay,196652,Masters,4,Never-married,Transport-moving,Not-in-family,Other,Male,85918,0,58,Cambodia,>50K
38,State-gov,653647,Masters,4,Married-AF-spouse,Exec-managerial,Not-in-family,Other,Male,0,0,41,Cuba,>50K
84,Without-pay,623078,10th,13,Married-spouse-absent,Tech-support,Not-in-family,White,Male,0,0,98,India,>50K
73,State-gov,483875,Prof-school,11,Widowed,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,0,0,66,Canada,>50K
68,Self-emp-not-inc,160909,1st-4th,14,Never-married,Protective-serv,Wife,White,Female,41366,0,15,Puerto-Rico,>50K
37,State-gov,1470258,7th-8th,9,Divorced,Sales,Wife,Other,Female,0,0,67,England,<=50K
51,State-gov,525355,Bachelors,1,Divorced,Other-service,Other-relative,Black,Male,0,0,37,Japan,<=50K
89,Never-worked,373026,Prof-school,11,Married-civ-spouse,Sales,Unmarried,Black,Female,0,2877,74,England,<=50K
63,Local-gov,1383570,Bachelors,1,Widowed,Machine-op-inspct,Own-child,White,Male,0,0,43,Philippines,<=50K
30,Self-emp-inc,1234204,1st-4th,14,Married-AF-spouse,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,78,Cuba,<=50K
71,Never-worked,1015720,1st-4th,14,Widowed,Machine-op-inspct,Other-relative,White,Male,42531,0,19,Philippines,>50K
34,Without-pay,751145,1st-4th,14,Married-AF-spouse,Transport-moving,Wife,Asian-Pac-Islander,Female,0,4260,43,England,<=50K
83,Self-emp-inc,30745,11th,3,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,64353,0,36,Japan,>50K
40,Never-worked,1287451,5th-6th,12,Married-AF-spouse,Sales,Other-relative,White,Female,0,0,30,United-States,<=50K
69,Federal-gov,1217196,Prof-school,11,Never-married,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,0,0,64,Germany,>50K
32,State-gov,1408652,9th,5,Married-spouse-absent,Adm-clerical,Unmarried,Black,Male,0,0,84,Philippines,<=50K
51,Self-emp-not-inc,277387,Some-college,6,Divorced,Prof-specialty,Own-child,White,Female,0,0,69,Japan,<=50K
20,Without-pay,518461,12th,16,Married-civ-spouse,Farming-fishing,Own-child,White,Male,0,0,1,United-States,<=50K
48,Private,532192,Assoc-voc,8,Divorced,Machine-op-inspct,Unmarried,Other,Male,0,0,84,Germany,<=50K
78,Local-gov,1206337,Masters,4,Separated,Craft-repair,Other-relative,White,Male,41672,0,87,Cambodia,>50K
89,Local-gov,682661,HS-grad,2,Divorced,Exec-managerial,Other-relative,Black,Male,0,0,43,India,>50K
46,State-gov,1218617,HS-grad,2,Married-AF-spouse,Exec-managerial,Husband,Black,Male,0,0,31,Cuba,<=50K
79,Self-emp-inc,65900,Bachelors,1,Widowed,Farming-fishing,Wife,White,Female,0,0,78,Philippines,<=50K
85,Never-worked,81282,5th-6th,12,Never-married,Transport-moving,Husband,Other,Male,0,0,28,Puerto-Rico,<=50K
47,Without-pay,1163399,Assoc-voc,8,Married-spouse-absent,Tech-support,Husband,Other,Female,0,3461,43,Canada,>50K
65,Federal-gov,607515,Assoc-acdm,7,Divorced,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,4258,44,Mexico,<=50K
81,Self-emp-inc,396321,Some-college,6,Married-civ-spouse,Priv-house-serv,Own-child,Black,Female,0,0,8,Puerto-Rico,<=50K
74,Federal-gov,377940,Assoc-voc,8,Divorced,Adm-clerical,Husband,Black,Female,0,844,34,Canada,>50K
21,Local-gov,527110,Doctorate,10,Divorced,Prof-specialty,Husband,White,Male,0,0,76,United-States,>50K
41,State-gov,1208763,10th,13,Divorced,Sales,Wife,Other,Male,0,0,90,Cambodia,<=50K
63,Self-emp-not-inc,1328486,Some-college,6,Married-AF-spouse,Prof-specialty,Other-relative,Other,Male,0,0,29,Japan,>50K
32,Private,347749,Doctorate,10,Separated,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,44,India,<=50K
45,Without-pay,1378357,Doctorate,10,Married-civ-spouse,Protective-serv,Own-child,Asian-Pac-Islander,Male,0,0,80,Cuba,<=50K
56,Federal-gov,629699,Masters,4,Widowed,Armed-Forces,Husband,White,Male,0,2185,50,Germany,<=50K
77,Local-gov,252312,Preschool,15,Separated,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,0,0,54,Japan,>50K
64,Self-emp-inc,603232,Bachelors,1,Widowed,Tech-support,Wife,Amer-Indian-Eskimo,Male,605,0,43,Germany,<=50K
72,Self-emp-inc,1159325,HS-grad,2,Widowed,Machine-op-inspct,Own-child,Other,Male,92311,0,39,Cuba,<=50K
80,Self-emp-not-inc,486520,12th,16,Widowed,Transport-moving,Husband,White,Female,0,2139,2,Mexico,>50K
84,Never-worked,759178,9th,5,Never-married,Sales,Own-child,Black,Female,0,2958,55,Mexico,<=50K
48,Self-emp-not-inc,322585,Doctorate,10,Separated,Tech-support,Own-child,Amer-Indian-Eskimo,Female,81476,0,41,Mexico,>50K
50,Federal-gov,616067,Doctorate,10,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,1688,65,Canada,>50K
18,Self-emp-not-inc,363723,Bachelors,1,Married-spouse-absent,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,27,Germany,<=50K
44,State-gov,1471304,Prof-school,11,Never-married,Exec-managerial,Husband,Black,Female,0,3666,77,Philippines,>50K
60,Private,457463,11th,3,Married-civ-spouse,Farming-fishing,Not-in-family,Other,Female,0,3600,8,Canada,<=50K
76,Private,1235355,Bachelors,1,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,0,0,27,Canada,<=50K
39,Local-gov,217194,Bachelors,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,United-States,<=50K
40,Self-emp-not-inc,1296696,10th,13,Married-civ-spouse,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,0,0,55,Puerto-Rico,>50K
53,Private,1330692,10th,13,Divorced,Sales,Unmarried,Other,Male,66220,0,29,Canada,>50K
31,Federal-gov,1378415,Masters,4,Widowed,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,70,Germany,>50K
57,Without-pay,342188,9th,5,Widowed,Farming-fishing,Own-child,Asian-Pac-Islander,Male,0,652,59,Mexico,>50K
42,Self-emp-inc,1055399,Doctorate,10,Married-AF-spouse,Craft-repair,Unmarried,Black,Female,0,0,63,Cuba,<=50K
33,Never-worked,429420,Some-college,6,Separated,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,0,0,22,Cuba,<=50K
62,Never-worked,1074048,7th-8th,9,Married-spouse-absent,Farming-fishing,Husband,Other,Female,0,3851,14,Japan,<=50K
58,Self-emp-inc,1320598,12th,16,Separated,Craft-repair,Own-child,Other,Female,21671,0,46,United-States,>50K
83,Never-worked,1309468,Assoc-acdm,7,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Male,0,2554,10,Canada,<=50K
45,State-gov,251489,12th,16,Married-spouse-absent,Sales,Not-in-family,Black,Male,0,1486,22,Japan,<=50K
40,State-gov,550862,Assoc-voc,8,Never-married,Machine-op-inspct,Other-relative,Black,Male,66197,0,48,India,>50K
28,Without-pay,553329,Prof-school,11,Married-AF-spouse,Transport-moving,Unmarried,Other,Male,0,0,6,England,<=50K
62,Never-worked,1401576,Doctorate,10,Separated,Machine-op-inspct,Other-relative,White,Male,47399,0,65,Japan,>50K
33,Self-emp-inc,1115829,Doctorate,10,Widowed,Sales,Unmarried,Black,Male,22778,0,85,Germany,>50K
22,Self-emp-inc,1012069,Masters,4,Married-spouse-absent,Sales,Wife,Other,Female,0,0,21,England,<=50K
17,Private,563228,Some-college,6,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,2729,7,Cambodia,<=50K
67,Without-pay,1378972,Some-college,6,Widowed,Prof-specialty,Husband,White,Female,0,3345,30,Cuba,>50K
83,Without-pay,345214,HS-grad,2,Widowed,Exec-managerial,Other-relative,White,Female,0,0,63,India,<=50K
31,Never-worked,385989,Masters,4,Married-civ-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,0,0,65,India,<=50K
33,Never-worked,262563,Some-college,6,Married-AF-spouse,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Male,0,0,65,England,<=50K
63,Self-emp-not-inc,1408708,10th,13,Married-civ-spouse,Farming-fishing,Husband,Other,Male,0,0,80,Canada,<=50K
34,Local-gov,803286,Masters,4,Married-civ-spouse,Other-service,Unmarried,Other,Male,0,1268,50,Mexico,<=50K
52,Local-gov,1438885,Assoc-voc,8,Separated,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,53504,0,32,India,<=50K
61,Without-pay,659107,Some-college,6,Separated,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,0,32,84,United-States,<=50K
74,Local-gov,471682,Bachelors,1,Widowed,Sales,Own-child,Asian-Pac-Islander,Male,0,2446,94,Mexico,<=50K
34,Self-emp-not-inc,236307,11th,3,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,23,Mexico,<=50K
87,Self-emp-not-inc,964274,1st-4th,14,Married-AF-spouse,Priv-house-serv,Own-child,Black,Female,0,0,53,Mexico,<=50K
37,Private,829313,7th-8th,9,Widowed,Machine-op-inspct,Unmarried,Other,Male,0,0,16,Philippines,<=50K
48,Self-emp-not-inc,325521,9th,5,Married-AF-spouse,Sales,Not-in-family,Black,Male,0,0,24,Germany,<=50K
38,Federal-gov,523345,Assoc-acdm,7,Divorced,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Male,0,0,48,Germany,<=50K
24,Self-emp-inc,1372421,11th,3,Married-spouse-absent,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,0,0,85,Cuba,<=50K
47,Local-gov,1178482,HS-grad,2,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,29046,0,75,Philippines,>50K
49,Self-emp-inc,186135,Some-college,6,Married-AF-spouse,Tech-support,Not-in-family,White,Male,0,2640,96,Philippines,<=50K
58,Without-pay,450299,Masters,4,Widowed,Tech-support,Unmarried,Other,Male,0,1962,17,Philippines,<=50K
59,Local-gov,1033501,9th,5,Married-spouse-absent,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,75043,1480,9,Cambodia,>50K
84,Self-emp-not-inc,906983,Bachelors,1,Married-spouse-absent,Transport-moving,Unmarried,White,Female,0,0,31,Cambodia,<=50K
35,Local-gov,1198124,Assoc-acdm,7,Separated,Adm-clerical,Wife,Other,Female,0,3400,50,Cuba,<=50K
38,Never-worked,272675,11th,3,Widowed,Sales,Own-child,Amer-Indian-Eskimo,Female,87449,0,6,England,<=50K
79,Self-emp-not-inc,518863,Bachelors,1,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,0,3244,26,Puerto-Rico,<=50K
77,Private,1345104,Some-college,6,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,0,0,9,Cuba,<=50K
64,Self-emp-not-inc,163326,Assoc-voc,8,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,0,0,8,Puerto-Rico,>50K
89,Federal-gov,1410013,12th,16,Separated,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,36,Puerto-Rico,>50K
35,Private,1324037,5th-6th,12,Never-married,Adm-clerical,Other-relative,Black,Male,70793,0,73,Cambodia,>50K
20,Self-emp-not-inc,297865,Preschool,15,Widowed,Tech-support,Wife,Amer-Indian-Eskimo,Male,0,0,38,India,<=50K
34,State-gov,520227,Bachelors,1,Married-civ-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Female,0,1966,31,India,<=50K
61,Self-emp-not-inc,1026236,5th-6th,12,Married-spouse-absent,Craft-repair,Wife,Other,Female,0,0,44,England,<=50K
71,Without-pay,322483,Some-college,6,Separated,Armed-Forces,Own-child,Other,Female,0,0,37,Cambodia,<=50K
18,Never-worked,89508,Prof-school,11,Never-married,Armed-Forces,Wife,White,Male,7317,1965,25,Cambodia,>50K
72,Never-worked,487993,12th,16,Never-married,Adm-clerical,Husband,Asian-Pac-Islander,Female,0,0,7,Cambodia,>50K
24,Self-emp-inc,846562,Assoc-voc,8,Married-AF-spouse,Craft-repair,Husband,White,Female,48050,1926,14,United-States,>50K
43,Self-emp-not-inc,148277,Bachelors,1,Divorced,Armed-Forces,Other-relative,White,Male,0,0,75,Japan,<=50K
62,State-gov,286000,Doctorate,10,Never-married,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,0,604,29,Cambodia,<=50K
82,Self-emp-inc,1480343,9th,5,Separated,Protective-serv,Not-in-family,White,Male,0,0,69,Philippines,<=50K
51,State-gov,104463,HS-grad,2,Never-married,Sales,Wife,Black,Female,0,3815,60,Puerto-Rico,<=50K
77,Federal-gov,785370,Assoc-acdm,7,Divorced,Armed-Forces,Not-in-family,Asian-Pac-Islander,Male,0,3810,82,Canada,>50K
20,State-gov,499886,9th,5,Married-AF-spouse,Protective-serv,Wife,Black,Female,0,0,86,India,<=50K
79,Without-pay,624486,1st-4th,14,Never-married,Armed-Forces,Other-relative,Black,Male,0,0,56,Mexico,<=50K
86,Self-emp-inc,462363,10th,13,Married-AF-spouse,Armed-Forces,Own-child,Asian-Pac-Islander,Male,19972,0,77,India,>50K
79,Self-emp-inc,760905,7th-8th,9,Widowed,Transport-moving,Own-child,Other,Female,54195,0,93,Mexico,>50K
59,Self-emp-inc,1487200,12th,16,Widowed,Sales,Own-child,Asian-Pac-Islander,Male,0,0,61,Mexico,>50K
55,Self-emp-inc,255799,5th-6th,12,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,94,Puerto-Rico,>50K
48,Never-worked,385358,Assoc-acdm,7,Married-AF-spouse,Exec-managerial,Own-child,Other,Male,0,0,4,United-States,<=50K
19,Federal-gov,1148673,Preschool,15,Never-married,Handlers-cleaners,Wife,Other,Male,85164,0,34,Cambodia,>50K
27,Never-worked,908184,7th-8th,9,Divorced,Protective-serv,Other-relative,Amer-Indian-Eskimo,Female,0,0,73,Puerto-Rico,<=50K
49,Self-emp-not-inc,614127,Masters,4,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,1173,24,Puerto-Rico,<=50K
41,State-gov,75001,1st-4th,14,Widowed,Protective-serv,Other-relative,Amer-Indian-Eskimo,Male,0,0,71,Mexico,<=50K
26,State-gov,1147834,5th-6th,12,Divorced,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Male,0,0,77,Philippines,<=50K
84,State-gov,898308,9th,5,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,8,Philippines,>50K
75,Never-worked,728317,11th,3,Married-AF-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,38891,190,3,Puerto-Rico,>50K
27,Federal-gov,1495575,Doctorate,10,Married-spouse-absent,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,0,0,26,Mexico,<=50K
28,Self-emp-not-inc,884503,5th-6th,12,Married-spouse-absent,Other-service,Own-child,Black,Male,90227,0,27,England,<=50K
73,State-gov,139966,Bachelors,1,Divorced,Other-service,Husband,Amer-Indian-Eskimo,Female,0,0,38,Philippines,<=50K
17,Federal-gov,189304,12th,16,Separated,Adm-clerical,Husband,Asian-Pac-Islander,Female,0,0,10,United-States,<=50K
66,Self-emp-inc,311392,7th-8th,9,Widowed,Prof-specialty,Other-relative,White,Female,0,0,35,Cambodia,>50K
72,Self-emp-not-inc,759641,11th,3,Married-spouse-absent,Protective-serv,Own-child,White,Male,0,0,69,Mexico,<=50K
51,Self-emp-inc,58540,9th,5,Married-civ-spouse,Armed-Forces,Husband,White,Female,35340,1676,48,Mexico,>50K
19,Private,1384641,10th,13,Married-AF-spouse,Craft-repair,Not-in-family,Black,Male,29637,2815,15,India,<=50K
43,Private,671056,Bachelors,1,Married-spouse-absent,Farming-fishing,Own-child,Amer-Indian-Eskimo,Female,0,0,82,Germany,<=50K
20,Never-worked,1143958,Masters,4,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Male,15987,0,28,Cuba,>50K
36,Self-emp-not-inc,1242053,Assoc-voc,8,Never-married,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,0,0,57,Germany,>50K
82,Self-emp-not-inc,1436445,5th-6th,12,Married-AF-spouse,Adm-clerical,Not-in-family,White,Female,0,0,14,United-States,<=50K
67,State-gov,176713,Prof-school,11,Married-civ-spouse,Craft-repair,Other-relative,Other,Female,0,0,79,Germany,>50K
85,Local-gov,1011268,11th,3,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Female,60426,0,90,Japan,>50K
26,Never-worked,323879,Bachelors,1,Married-civ-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,99885,0,1,Canada,<=50K
85,Self-emp-inc,57613,Some-college,6,Married-AF-spouse,Sales,Unmarried,Other,Male,0,0,62,Mexico,<=50K
39,Never-worked,998898,7th-8th,9,Married-AF-spouse,Sales,Unmarried,Asian-Pac-Islander,Female,0,1091,95,Puerto-Rico,>50K
33,Private,834688,9th,5,Divorced,Priv-house-serv,Own-child,Other,Male,0,0,34,Philippines,<=50K
43,Private,262717,7th-8th,9,Separated,Prof-specialty,Unmarried,Other,Female,0,0,53,United-States,>50K
70,Self-emp-inc,543053,Assoc-voc,8,Married-civ-spouse,Other-service,Unmarried,Other,Female,0,0,61,India,>50K
49,Self-emp-inc,383341,Prof-school,11,Divorced,Handlers-cleaners,Husband,Other,Female,28169,3986,31,Cambodia,>50K
26,Never-worked,1326480,Masters,4,Married-spouse-absent,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,41,Philippines,<=50K
71,Federal-gov,455237,Assoc-acdm,7,Divorced,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,54,United-States,<=50K
48,Local-gov,73008,Doctorate,10,Separated,Adm-clerical,Own-child,White,Male,0,0,14,Germany,<=50K
38,Never-worked,107751,Preschool,15,Never-married,Exec-managerial,Not-in-family,White,Female,0,3828,30,India,>50K
42,State-gov,448170,Some-college,6,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,91,Cuba,<=50K
35,Local-gov,997455,10th,13,Married-AF-spouse,Other-service,Other-relative,White,Male,0,644,2,Japan,<=50K
42,Without-pay,1275251,7th-8th,9,Never-married,Tech-support,Wife,White,Male,0,1005,71,Mexico,<=50K
67,Local-gov,584231,Assoc-voc,8,Widowed,Exec-managerial,Unmarried,Other,Male,0,0,56,United-States,>50K
58,Federal-gov,1412447,9th,5,Widowed,Prof-specialty,Husband,Other,Male,0,0,90,India,>50K
63,State-gov,1373908,Masters,4,Married-civ-spouse,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,47499,0,7,Puerto-Rico,>50K
49,Never-worked,804549,Preschool,15,Separated,Handlers-cleaners,Not-in-family,White,Female,0,0,29,Japan,>50K
20,Federal-gov,1069800,Doctorate,10,Married-spouse-absent,Exec-managerial,Unmarried,Other,Female,62711,0,44,United-States,>50K
87,Local-gov,1470016,1st-4th,14,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,0,0,91,United-States,>50K
61,Self-emp-inc,1105456,Preschool,15,Widowed,Transport-moving,Wife,White,Male,0,0,18,Cuba,<=50K
27,Private,1287607,Assoc-acdm,7,Married-civ-spouse,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Female,0,0,18,India,>50K
45,Private,1197893,11th,3,Widowed,Transport-moving,Wife,Asian-Pac-Islander,Female,62270,991,57,Philippines,>50K
89,Federal-gov,428761,HS-grad,2,Divorced,Armed-Forces,Unmarried,White,Female,0,0,37,Puerto-Rico,<=50K
31,State-gov,1368864,12th,16,Married-spouse-absent,Priv-house-serv,Wife,White,Male,0,0,2,Puerto-Rico,<=50K
26,Self-emp-not-inc,79278,7th-8th,9,Divorced,Armed-Forces,Other-relative,Black,Female,59884,0,68,Philippines,>50K
61,Local-gov,1304848,12th,16,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0,0,17,Cuba,>50K
